Neighborhood,Campus,Distance_km,Campus_Access_Score_0_100
Ahuntsic-Cartierville,McGill Downtown Campus,9.12,75.0
Ahuntsic-Cartierville,Concordia SGW Campus,9.42,74.7
Ahuntsic-Cartierville,UQAM,9.89,71.4
Ahuntsic-Cartierville,Université de Montréal,6.74,80.4
Ahuntsic-Cartierville,Concordia Loyola Campus,9.95,63.2
Ahuntsic-Cartierville,McGill Macdonald Campus,25.35,41.8
Lachine,McGill Downtown Campus,11.06,68.4
Lachine,Concordia SGW Campus,10.46,71.1
Lachine,UQAM,12.82,62.2
Lachine,Université de Montréal,8.7,73.1
Lachine,Concordia Loyola Campus,4.14,86.8
Lachine,McGill Macdonald Campus,20.09,54.9
LaSalle,McGill Downtown Campus,8.95,75.5
LaSalle,Concordia SGW Campus,8.12,79.2
LaSalle,UQAM,10.51,69.5
LaSalle,Université de Montréal,8.28,74.7
LaSalle,Concordia Loyola Campus,3.9,87.8
LaSalle,McGill Macdonald Campus,25.7,41.0
Verdun,McGill Downtown Campus,6.16,85.0
Verdun,Concordia SGW Campus,5.42,88.6
Verdun,UQAM,7.06,80.2
Verdun,Université de Montréal,7.47,77.7
Verdun,Concordia Loyola Campus,6.81,76.0
Verdun,McGill Macdonald Campus,30.69,28.5
Saint-Laurent,McGill Downtown Campus,10.6,69.9
Saint-Laurent,Concordia SGW Campus,10.44,71.1
Saint-Laurent,UQAM,12.05,64.7
Saint-Laurent,Université de Montréal,7.58,77.3
Saint-Laurent,Concordia Loyola Campus,7.17,74.5
Saint-Laurent,McGill Macdonald Campus,20.5,53.9
Senneville,McGill Downtown Campus,31.16,0.0
Senneville,Concordia SGW Campus,30.85,0.0
Senneville,UQAM,32.74,0.0
Senneville,Université de Montréal,28.19,0.0
Senneville,Concordia Loyola Campus,25.46,0.0
Senneville,McGill Macdonald Campus,4.0,95.0
Kirkland,McGill Downtown Campus,23.43,26.3
Kirkland,Concordia SGW Campus,23.1,27.0
Kirkland,UQAM,25.03,24.1
Kirkland,Université de Montréal,20.47,28.9
Kirkland,Concordia Loyola Campus,17.72,31.5
Kirkland,McGill Macdonald Campus,7.48,86.4
Saint-Léonard,McGill Downtown Campus,9.51,73.6
Saint-Léonard,Concordia SGW Campus,10.31,71.6
Saint-Léonard,UQAM,8.69,75.2
Saint-Léonard,Université de Montréal,9.73,69.2
Saint-Léonard,Concordia Loyola Campus,14.99,42.6
Saint-Léonard,McGill Macdonald Campus,33.72,21.0
Beaconsfield,McGill Downtown Campus,23.76,25.2
Beaconsfield,Concordia SGW Campus,23.32,26.2
Beaconsfield,UQAM,25.45,22.8
Beaconsfield,Université de Montréal,20.94,27.2
Beaconsfield,Concordia Loyola Campus,17.39,32.9
Beaconsfield,McGill Macdonald Campus,6.79,88.1
Montréal-Nord,McGill Downtown Campus,11.75,66.0
Montréal-Nord,Concordia SGW Campus,12.49,64.0
Montréal-Nord,UQAM,11.26,67.1
Montréal-Nord,Université de Montréal,11.26,63.5
Montréal-Nord,Concordia Loyola Campus,16.19,37.8
Montréal-Nord,McGill Macdonald Campus,32.63,23.7
Dorval,McGill Downtown Campus,14.79,55.7
Dorval,Concordia SGW Campus,14.35,57.5
Dorval,UQAM,16.48,50.8
Dorval,Université de Montréal,11.99,60.7
Dorval,Concordia Loyola Campus,8.65,68.5
Dorval,McGill Macdonald Campus,15.67,66.0
Anjou,McGill Downtown Campus,12.01,65.1
Anjou,Concordia SGW Campus,12.85,62.7
Anjou,UQAM,10.83,68.5
Anjou,Université de Montréal,12.79,57.7
Anjou,Concordia Loyola Campus,18.12,29.9
Anjou,McGill Macdonald Campus,37.14,12.4
Pierrefonds-Roxboro,McGill Downtown Campus,23.03,27.7
Pierrefonds-Roxboro,Concordia SGW Campus,22.82,28.0
Pierrefonds-Roxboro,UQAM,24.51,25.7
Pierrefonds-Roxboro,Université de Montréal,20.02,30.6
Pierrefonds-Roxboro,Concordia Loyola Campus,18.12,29.9
Pierrefonds-Roxboro,McGill Macdonald Campus,9.82,80.5
L'Île-Dorval,McGill Downtown Campus,15.14,54.5
L'Île-Dorval,Concordia SGW Campus,14.6,56.6
L'Île-Dorval,UQAM,16.89,49.5
L'Île-Dorval,Université de Montréal,12.56,58.6
L'Île-Dorval,Concordia Loyola Campus,8.4,69.5
L'Île-Dorval,McGill Macdonald Campus,15.86,65.5
Pointe-Claire,McGill Downtown Campus,19.22,40.6
Pointe-Claire,Concordia SGW Campus,18.8,42.0
Pointe-Claire,UQAM,20.89,37.0
Pointe-Claire,Université de Montréal,16.36,44.4
